** CONVERTED FROM S2.edf using edfapi 4.2.1197.0 Linux   standalone Sep 27 2024 on Sun Feb 15 14:23:17 2026
** DATE: Thu Jan  1 01:15:21 2009
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH7
** SERIAL NUMBER: CLO-ZAC14
** CAMERA_CONFIG: ZAC14140.SCD
** anti-saccade task by Matteo Lisi
**

MSG	4230932 BEGIN OF DESCRIPTIONS
MSG	4230932 Subject code: S2
MSG	4230932 END OF DESCRIPTIONS
INPUT	4232647	127
MSG	4232807 TRIALID 1
MSG	4232813 RECCFG CR 1000 1 1 L
MSG	4232813 ELCLCFG MTABLER
MSG	4232813 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4232813 THRESHOLDS L 78 219
MSG	4232813 ELCL_PROC CENTROID (3)
MSG	4232813 ELCL_PCR_PARAM 5 3.0
MSG	4232814 !MODE RECORD CR 1000 1 1 L
START	4232815 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
4233091	  243.0	  511.2	  594.0	...
4233092	  242.8	  512.1	  594.0	...
4233093	  242.7	  513.0	  598.0	...
4233094	  243.4	  513.0	  597.0	...
4233095	  244.2	  513.1	  597.0	...
4233096	  243.9	  513.1	  600.0	...
4233097	  244.0	  512.4	  600.0	...
4233098	  244.1	  511.7	  600.0	...
4233099	  242.8	  510.6	  602.0	...
4233100	  242.8	  510.6	  602.0	...
4233101	  243.1	  508.8	  602.0	...
4233102	  242.4	  507.3	  592.0	...
4233103	  242.3	  507.3	  592.0	...
4233104	  241.7	  509.8	  592.0	...
4233105	  242.0	  509.8	  593.0	...
4233106	  242.0	  509.8	  598.0	...
4233107	  239.6	  510.9	  598.0	...
4233108	  239.7	  510.9	  600.0	...
4233109	  239.8	  510.9	  601.0	...
4233110	  240.1	  510.9	  601.0	...
4233111	  240.1	  510.9	  600.0	...
4233112	  240.0	  511.0	  600.0	...
4233113	  239.8	  511.0	  602.0	...
4233114	  239.8	  511.1	  605.0	...
4233115	  241.6	  511.1	  605.0	...
4233116	  242.9	  511.7	  605.0	...
4233117	  242.7	  512.3	  605.0	...
4233118	  242.9	  511.9	  606.0	...
4233119	  243.0	  511.5	  606.0	...
4233120	  243.8	  511.3	  599.0	...
4233121	  243.8	  511.1	  600.0	...
4233122	  244.0	  511.1	  601.0	...
4233123	  244.0	  511.1	  600.0	...
4233124	  241.6	  510.4	  600.0	...
4233125	  241.6	  510.7	  600.0	...
4233126	  242.0	  510.7	  600.0	...
4233127	  242.0	  510.7	  600.0	...
4233128	  241.9	  510.6	  602.0	...
4233129	  241.9	  510.5	  602.0	...
4233130	  241.8	  511.0	  601.0	...
4233131	  243.7	  511.5	  601.0	...
4233132	  245.2	  514.2	  602.0	...
4233133	  245.2	  514.2	  603.0	...
4233134	  245.1	  513.7	  603.0	...
4233135	  245.2	  513.1	  602.0	...
4233136	  245.2	  513.1	  602.0	...
4233137	  245.6	  512.6	  607.0	...
4233138	  245.6	  512.8	  607.0	...
4233139	  244.6	  512.7	  601.0	...
4233140	  240.6	  511.4	  601.0	...
